Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
125.0,2019-10-11,call,FB191011C00125000,48.9,50.25,50.45,-0.8999977,-1.8072244,11.0,4.0,1.0000000000000003e-05,FB,False,FB,180.45,2019-10-04 20:00:01,2019-09-06 16:28:32,"{'contractSymbol': 'FB191011C00125000', 'strike': 125.0, 'currency': 'USD', 'lastPrice': 48.9, 'change': -0.8999977, 'percentChange': -1.8072244, 'volume': 11, 'openInterest': 4, 'bid': 50.25, 'ask': 50.45, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1567787312, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
125.0,2019-10-11,put,FB191011P00125000,0.01,0.0,0.05,0.0,0.0,,10.0,0.9960937890625,FB,False,FB,180.45,2019-10-04 20:00:01,2019-09-25 18:36:51,"{'contractSymbol': 'FB191011P00125000', 'strike': 125.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 10, 'bid': 0.0, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1569436611, 'impliedVolatility': 0.9960937890625, 'inTheMoney': False}"
130.0,2019-10-11,call,FB191011C00130000,43.9,48.95,50.3,0.0,0.0,30.0,23.0,1.0000000000000003e-05,FB,False,FB,180.45,2019-10-04 20:00:01,2019-10-03 14:08:51,"{'contractSymbol': 'FB191011C00130000', 'strike': 130.0, 'currency': 'USD', 'lastPrice': 43.9, 'change': 0.0, 'percentChange': 0.0, 'volume': 30, 'openInterest': 23, 'bid': 48.95, 'ask': 50.3, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1570111731, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
130.0,2019-10-11,put,FB191011P00130000,0.02,0.0,0.07,0.0,0.0,11.0,17.0,0.929688203125,FB,False,FB,180.45,2019-10-04 20:00:01,2019-10-01 15:15:24,"{'contractSymbol': 'FB191011P00130000', 'strike': 130.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 11, 'openInterest': 17, 'bid': 0.0, 'ask': 0.07, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1569942924, 'impliedVolatility': 0.929688203125, 'inTheMoney': False}"
135.0,2019-10-11,call,FB191011C00135000,54.72,40.4,40.6,0.0,0.0,1.0,1.0,1.0000000000000003e-05,FB,False,FB,180.45,2019-10-04 20:00:01,2019-09-20 19:37:44,"{'contractSymbol': 'FB191011C00135000', 'strike': 135.0, 'currency': 'USD', 'lastPrice': 54.72, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 40.4, 'ask': 40.6, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1569008264, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
135.0,2019-10-11,put,FB191011P00135000,0.02,0.0,0.07,0.0,0.0,10.0,20.0,0.8359391406249999,FB,False,FB,180.45,2019-10-04 20:00:01,2019-09-27 19:49:58,"{'contractSymbol': 'FB191011P00135000', 'strike': 135.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 10, 'openInterest': 20, 'bid': 0.0, 'ask': 0.07, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1569613798, 'impliedVolatility': 0.8359391406249999, 'inTheMoney': False}"
140.0,2019-10-11,put,FB191011P00140000,0.02,0.02,0.04,-0.01,-33.333336,6.0,35.0,0.726565234375,FB,False,FB,180.45,2019-10-04 20:00:01,2019-10-03 14:01:38,"{'contractSymbol': 'FB191011P00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': -0.01, 'percentChange': -33.333336, 'volume': 6, 'openInterest': 35, 'bid': 0.02, 'ask': 0.04, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1570111298, 'impliedVolatility': 0.726565234375, 'inTheMoney': False}"
145.0,2019-10-11,put,FB191011P00145000,0.07,0.04,0.05,0.0,0.0,1.0,39.0,0.6679720703125002,FB,False,FB,180.45,2019-10-04 20:00:01,2019-10-02 17:08:40,"{'contractSymbol': 'FB191011P00145000', 'strike': 145.0, 'currency': 'USD', 'lastPrice': 0.07, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 39, 'bid': 0.04, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1570036120, 'impliedVolatility': 0.6679720703125002, 'inTheMoney': False}"
150.0,2019-10-11,call,FB191011C00150000,29.92,25.35,25.7,0.0,0.0,,1.0,1.0000000000000003e-05,FB,False,FB,180.45,2019-10-04 20:00:01,2019-09-26 18:33:46,"{'contractSymbol': 'FB191011C00150000', 'strike': 150.0, 'currency': 'USD', 'lastPrice': 29.92, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 1, 'bid': 25.35, 'ask': 25.7, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1569522826, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
150.0,2019-10-11,put,FB191011P00150000,0.1,0.08,0.1,-0.019999996,-16.666662,1.0,142.0,0.632816171875,FB,False,FB,180.45,2019-10-04 20:00:01,2019-10-03 13:30:01,"{'contractSymbol': 'FB191011P00150000', 'strike': 150.0, 'currency': 'USD', 'lastPrice': 0.1, 'change': -0.019999996, 'percentChange': -16.666662, 'volume': 1, 'openInterest': 142, 'bid': 0.08, 'ask': 0.1, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1570109401, 'impliedVolatility': 0.632816171875, 'inTheMoney': False}"
152.5,2019-10-11,put,FB191011P00152500,0.15,0.11,0.13,-0.019999996,-11.764703,1.0,76.0,0.6093789062500001,FB,False,FB,180.45,2019-10-04 20:00:01,2019-10-03 14:07:48,"{'contractSymbol': 'FB191011P00152500', 'strike': 152.5, 'currency': 'USD', 'lastPrice': 0.15, 'change': -0.019999996, 'percentChange': -11.764703, 'volume': 1, 'openInterest': 76, 'bid': 0.11, 'ask': 0.13, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1570111668, 'impliedVolatility': 0.6093789062500001, 'inTheMoney': False}"
155.0,2019-10-11,call,FB191011C00155000,25.54,20.35,20.8,0.0,0.0,5.0,7.0,1.0000000000000003e-05,FB,False,FB,180.45,2019-10-04 20:00:01,2019-09-26 19:47:24,"{'contractSymbol': 'FB191011C00155000', 'strike': 155.0, 'currency': 'USD', 'lastPrice': 25.54, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 7, 'bid': 20.35, 'ask': 20.8, 'contractSize': 'REGULAR', 'expiration': 1570752000, 'lastTradeDate': 1569527244, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
